Ship_critical		{Критическое попадание!}
Ship_sunk		{%1 "%2" потоплен. +%3 опыта.}
Ship_sunk_other		{%1 "%2" потоплен.}
Ship_got_good		{%1 ц %2 поднято на борт}
Ship_cant_got_good	{Нет места для %1}

Fort_destroy		{Форт %1 разрушен. +%2 опыта.}
Fort_cannon		{Орудие форта уничтожено!}

seg_Balls		{Ядер}
seg_Grapes		{Картечи}
seg_Knippels	{Книппелей}
seg_Bombs		{Бомб}
seg_Sailcloth	{Парусины}
seg_Planks		{Досок}
seg_Slaves		{Рабов}
seg_Wheat		{Пшеницы}
seg_Ebony		{Черного дерева}
seg_Chocolate	{Какао}
seg_Sugar		{Сахара}
seg_Wine		{Вина}
seg_ShipSilk	{Корабельного шелка}
seg_Rum			{Рома}
seg_Tobacco		{Табака}
seg_Coffee		{Кофе}
seg_Mahogany	{Красного дерева}
seg_Cinnamon	{Ванили}
seg_Copra		{Копры}
seg_Paprika		{Паприки}
seg_Fruits		{Фруктов}
seg_Ale			{Эля}
seg_Ropes		{Канатов}
seg_Clothes		{Одежды}
seg_Cotton		{Хлопка}
seg_Sandal		{Бакаута}
seg_Leather		{Кожи}
seg_Oil			{Смол}
seg_Food 	    {Провианта}
seg_Weapon  	{Оружия}
seg_Gold		{Золота}
seg_Silver		{Серебра}
seg_Powder		{Пороха}
seg_Brick		{Кирпичей}
seg_Medicament	{Лекарства}

seg_Cannon_3	{Пушек 3ф.}
seg_Cannon_6	{Пушек 6ф.}
seg_Cannon_12	{Пушек 12ф.}
seg_Cannon_16	{Пушек 16ф.}
seg_Cannon_20	{Пушек 20ф.}
seg_Cannon_24	{Пушек 24ф.}
seg_Cannon_32	{Пушек 32ф.}
seg_Cannon_36	{Пушек 36ф.}
seg_Cannon_42	{Пушек 42ф.}
seg_Culverine_8	{Полукулеврин}
seg_Culverine_18	{Кулеврин}
seg_Culverine_36	{Полных кулеврин}

sea_exp_add		{+%1 опыта}
