
Antigua			{Antigua}
Barbados		{Barbados}
Bermudes		{Isla del Tesoro}
Beliz			{Yucatan}
Cuba   			{Cuba}
Cuba1   		{Cuba}
Cuba2   		{Cuba}
Caiman 			{Cayman}
Cumana 			{Main}
Caracas 		{Main}
Curacao			{Curacao}
Cartahena 		{Main}
Dominica		{Dominica}
Guadeloupe		{Guadeloupe}
Hispaniola 		{Hispaniola}
Hispaniola1		{Hispaniola}
Hispaniola2 	{Hispaniola}
Jamaica			{Jamaica}
Maracaibo 		{Main}
Martinique		{Martinique}
SentMartin		{Saint-Martin}
Nevis			{Saint Christopher}
PuertoRico		{Puerto Rico}
PortoBello 		{Main}
Pearl 			{Pearl Beach}
Panama 			{Panama}
SantaCatalina 	{Main}
Turks			{Turks}
Tortuga			{Tortuga}
Trinidad		{Trinidad and Tobago}
Tenotchitlan 	{Lago Peten}
Mein 			{Main}
KhaelRoa 		{Khael Roa}
Ksochitam 		{Ksocheatem}
RockIsland 		{Northern Reefs}
Providence 		{Providence}
SantaQuiteria 	{Santa Quiteria}
IslaDeVieques 	{Isla de Vieques}
IslaMona 		{Isla Mona}
IslaDeCoche 	{Isla de Coche}

SentJons_town 	{St. John's}
Pirates_town	{Sharptown}
Bridge_town		{Bridgetown}
Beliz_town		{Belize}
Santiago_town	{Santiago}
PuertoPrincipe_town	{Puerto del Principe}
Havana_town		{Havana}
Cumana_town		{Cumana}
Caracas_town	{Caracas}
Villemstad_town	{Willemstad}
Cartahena_town	{Cartagena}
BasTer_town		{Basse-Terre}
SantoDomingo_town	{Santo Domingo}
LaVega_town		{La Vega}
PortPax_town	{Port-au-Prince}
PortRoyal_town	{Port Royal}
Maracaibo_town	{Maracaibo}
FortFrance_town	{Saint-Pierre}
LeFransua_town	{Le Francois}
Marigo_town		{Philipsburg}
Charles_town	{Capsterville}
SanJuan_town	{San Juan}
PortoBello_town	{Portobello}
Panama_town		{Panama}
SantaCatalina_town	{Blueweld}
Tortuga_town	{Tortuga}
PortSpein_town	{San Jose}
Tenotchitlan_town	{Tayasal}
FortOrange_town	{Maroon Town}
Providence_town	{San Andres}
Estate 			{Oglethorpe estate, England}
DesMoines 		{Des Moines}
Minentown_town 	{Los-Teques mine}
ExitMine 		{Passage to the mine}

Shore1	{Cape Boon}
Shore2	{Falmouth Cove}
Shore3	{Benures Bay}
Shore4	{Harrison Cape}
Shore5	{Cape Ragged Point}
Shore6	{Cape Catoche}
Shore7	{Cozumel Bay}
Shore8	{Chetumal Cove}
Shore9	{Amatique Cove}
Shore10	{Caratasca Lagoon}
Shore11	{Cape Camaguey}
Shore12	{Anna Maria Bay}
Shore13	{Batabano Bay}
Shore14	{Juventud Cove}
Shore15	{Cape San Antonio}
Shore16	{Desert Coast}
Shore17	{Esmeralda Bay}
Shore18	{Boca de la Serpienta Coast}
Shore19	{Carupano Cove}
Shore20	{Los-Teques Beach}
Shore21	{Cape Aruba}
Shore22	{Coast Van Hato}
Shore23	{Cape Santa Maria}
Shore24	{Blanca Lagoon}
Shore25	{Covenas Cove}
Shore26	{Castle Bruce Beach}
Shore27	{Cape Scott's Head}
Shore28	{Morne-a-l'Eau Cove}
Shore29	{Capster Beach}
Shore30	{Grand-Bourg Cove}
Shore31	{Cape Inaccessible}
Shore32	{Cape Isabella}
Shore33	{Samana Cove}
Shore34	{Gonaives Bay}
Shore35	{Cape Negril}
Shore36	{Portland Bay}
Shore37	{Guajira Bay}
Shore38	{Lamentin Bay}
Shore39	{Le Marin Cove}
Shore40	{Grand Case Beach}
Shore41	{Simpson Bay}
Shore42	{Sandy Bay}
Shore43	{Half Moon Bay}
Shore44	{Aguadilla Cove}
Shore45	{Fajardo Beach}
Shore46	{Chiriqui Lagoon}
Shore47	{Mosquitoes Bay}
Shore48	{Golfo del Darien}
Shore49	{Papagayo Bay}
Shore50	{Nicoya Bay}
Shore51	{Coronado Bay}
Shore52	{Golfo Dulce}
Shore53	{Mosquito Coast}
Shore54	{Cape Perlas}
Shore55	{Bay of San Juan del Norte}
Shore56	{Northern Bay}
Shore57	{Southern Bay}
Shore58	{Fisheye Beach}
Shore59	{Scarborough Cove}
Shore60	{Galera Point}
Shore61	{Tepeyakak}
Shore62	{Iztapalapa}
Shore63	{San Miguel Bay}
Shore64 {Reef Cove}
Shore65 {Rocky Cove}
Shore66 {Shark Beach}
Shore66_1 {Cursed Cove}
Shore67 {Skeleton Reef}
Shore67_1 {Skeleton Reef - West}
Shore67_2 {Skeleton Reef - East}
Shore68 {Ingallado Cove}
