Ship_critical		{Critical Hit!}
Ship_sunk			{%1 "%2" is sunk. +%3 experience obtained.}
Ship_sunk_other		{%1 "%2" is sunk.}
Ship_got_good		{%1 centners of %2 are taken on board}
Ship_cant_got_good	{No room for %1}

Fort_destroy		{Fort %1 is destroyed. +%2 experience obtained.}
Fort_cannon			{Fort's cannon is destroyed!}

seg_Balls 			{cannonballs}
seg_Grapes 			{grapeshot}
seg_Knippels 		{knippels}
seg_Bombs 			{bombs}
seg_Sailcloth 		{sailcloth}
seg_Planks 			{planks}
seg_Slaves 			{slaves}
seg_Wheat 			{wheat}
seg_Ebony 			{ebony}
seg_Chocolate 		{cocoa}
seg_Suga 			{sugar}
seg_Wine 			{wine}
seg_ShipSilk 		{shipsilk}
seg_Rum 			{rum}
seg_Tobacco 		{tobacco}
seg_Coffee 			{coffee}
seg_Mahogany 		{mahogany}
seg_Cinnamon 		{vanilla}
seg_Copra 			{copra}
seg_Paprika 		{paprika}
seg_Fruits 			{fruits}
seg_Ale 			{ale}
seg_Ropes 			{ropes}
seg_Clothes 		{clothes}
seg_Cotton 			{cotton}
seg_Sandal 			{ironwood}
seg_Leather 		{leather}
seg_Oil 			{resin}
seg_Food 			{food}
seg_Weapon 			{weapons}
seg_Gold 			{gold}
seg_Silver 			{silver}
seg_Powder 			{gunpowder}
seg_Brick 			{bricks}
seg_Medicament 		{medicine}

seg_Cannon_3		{3p. falconets}
seg_Cannon_6		{6-pounders}
seg_Cannon_12		{12-pounders}
seg_Cannon_16		{16-pounders}
seg_Cannon_20		{20-pounders}
seg_Cannon_24		{24-pounders}
seg_Cannon_32		{32-pounders}
seg_Cannon_36		{36-pounders}
seg_Cannon_42		{42-pounders}
seg_Culverine_8		{Semi-couleuvrines}
seg_Culverine_18	{Couleuvrines}
seg_Culverine_36	{Full couleuvrines}

sea_exp_add			{+%1 experience obtained}
